history_id,event_id,event_type,segment_ids,start_step,duration_steps,intensity,kind
history_000,history_000_event_022,valve_transient,2,8,20,0.3403829652598684,disturbance
history_000,history_000_event_009,demand_spike,"1,2,3",170,59,0.6804835688143547,disturbance
history_000,history_000_event_005,abrupt_leak,1,294,236,0.723220772334511,leak
history_000,history_000_event_029,sensor_drift,3,588,3917,0.29549690902843145,disturbance
history_000,history_000_event_006,demand_spike,"1,2,3",592,149,0.6917398597280223,disturbance
history_000,history_000_event_030,sensor_drift,2,724,2742,0.7351574304892561,disturbance
history_000,history_000_event_011,demand_spike,"1,2,3",867,201,0.699302700862279,disturbance
history_000,history_000_event_001,slow_leak,1,1146,867,0.5052862960431378,leak
history_000,history_000_event_020,pump_wear,1,2011,2085,0.7859271248888873,disturbance
history_000,history_000_event_014,demand_spike,"1,2,3",2108,69,0.6324134311260864,disturbance
history_000,history_000_event_008,demand_spike,"1,2,3",2293,81,0.508686758147302,disturbance
history_000,history_000_event_015,demand_spike,"1,2,3",2438,160,0.841098221459039,disturbance
history_000,history_000_event_026,valve_transient,2,2643,78,0.4249704591485335,disturbance
history_000,history_000_event_010,demand_spike,"1,2,3",2662,60,0.8283320303893085,disturbance
history_000,history_000_event_003,borderline_leak,1,2905,1020,0.2229381054788949,leak
history_000,history_000_event_023,valve_transient,3,3036,108,0.6429282032180164,disturbance
history_000,history_000_event_024,valve_transient,1,3610,86,0.533576905857115,disturbance
history_000,history_000_event_018,pump_wear,1,3741,668,0.7701320524237156,disturbance
history_000,history_000_event_013,demand_spike,"1,2,3",4040,48,0.38747593010193837,disturbance
history_000,history_000_event_019,pump_wear,3,4187,1286,0.5181425298457927,disturbance
history_000,history_000_event_002,slow_leak,2,4192,2500,0.4209144076240906,leak
history_000,history_000_event_028,valve_transient,1,4549,44,0.6646811689860044,disturbance
history_000,history_000_event_031,sensor_drift,3,4681,1850,0.552873522729954,disturbance
history_000,history_000_event_021,valve_transient,1,4970,106,0.6861049659190543,disturbance
history_000,history_000_event_016,pump_wear,3,5236,1461,0.49660073605991173,disturbance
history_000,history_000_event_033,sensor_drift,1,5830,808,0.37310641251457977,disturbance
history_000,history_000_event_007,demand_spike,"1,2,3",6837,44,0.378603493227628,disturbance
history_000,history_000_event_004,borderline_leak,1,6974,1272,0.18502884092435087,leak
history_000,history_000_event_027,valve_transient,1,7291,48,0.48652639970373507,disturbance
history_000,history_000_event_032,sensor_drift,3,8034,1547,0.3940136844905919,disturbance
history_000,history_000_event_025,valve_transient,1,8314,22,0.6147001921443362,disturbance
history_000,history_000_event_000,slow_leak,1,8473,1275,0.41268486492620177,leak
history_000,history_000_event_017,pump_wear,1,8634,963,0.37666486697525614,disturbance
history_000,history_000_event_012,demand_spike,"1,2,3",9840,211,0.615124020839974,disturbance
history_001,history_001_event_012,demand_spike,"1,2,3",112,32,0.3908353887658197,disturbance
history_001,history_001_event_028,valve_transient,3,205,26,0.6000754183874495,disturbance
history_001,history_001_event_005,abrupt_leak,2,297,251,0.8751753335847661,leak
history_001,history_001_event_032,sensor_drift,1,377,3220,0.27881920772974517,disturbance
history_001,history_001_event_019,pump_wear,2,433,1728,0.6143481732845371,disturbance
history_001,history_001_event_033,sensor_drift,1,739,3210,0.2794231971683473,disturbance
history_001,history_001_event_000,slow_leak,1,768,1141,0.4860401356515691,leak
history_001,history_001_event_020,pump_wear,1,1022,1591,0.412718838076983,disturbance
history_001,history_001_event_016,pump_wear,3,1663,1867,0.48754795560536623,disturbance
history_001,history_001_event_015,demand_spike,"1,2,3",1975,234,0.3519482109410071,disturbance
history_001,history_001_event_029,sensor_drift,2,2046,4020,0.4808393196142276,disturbance
history_001,history_001_event_030,sensor_drift,2,2078,1197,0.6375438152135542,disturbance
history_001,history_001_event_007,demand_spike,"1,2,3",2453,53,0.8495731120930142,disturbance
history_001,history_001_event_017,pump_wear,2,2652,1393,0.6945288813392093,disturbance
history_001,history_001_event_004,borderline_leak,3,2898,1547,0.14775837315790624,leak
history_001,history_001_event_026,valve_transient,2,2919,77,0.7227885121773863,disturbance
history_001,history_001_event_003,borderline_leak,3,3197,1615,0.14520328174420888,leak
history_001,history_001_event_018,pump_wear,3,4323,1558,0.5395340328222995,disturbance
history_001,history_001_event_009,demand_spike,"1,2,3",5013,145,0.8319815358291316,disturbance
history_001,history_001_event_014,demand_spike,"1,2,3",5287,215,0.7359309255649227,disturbance
history_001,history_001_event_001,slow_leak,2,5576,1049,0.5578383228489965,leak
history_001,history_001_event_027,valve_transient,2,5756,79,0.5688828314079817,disturbance
history_001,history_001_event_031,sensor_drift,2,5794,2899,0.7127934859318816,disturbance
history_001,history_001_event_022,valve_transient,3,6704,93,0.5780893836763581,disturbance
history_001,history_001_event_011,demand_spike,"1,2,3",6873,159,0.5892132329069821,disturbance
history_001,history_001_event_013,demand_spike,"1,2,3",7166,138,0.8417155080149047,disturbance
history_001,history_001_event_006,demand_spike,"1,2,3",7374,67,0.6223554786795422,disturbance
history_001,history_001_event_008,demand_spike,"1,2,3",7536,209,0.6865494440483748,disturbance
history_001,history_001_event_002,slow_leak,2,7937,1376,0.6049870086988156,leak
history_001,history_001_event_023,valve_transient,1,9386,24,0.6045355210992198,disturbance
history_001,history_001_event_021,valve_transient,3,9528,65,0.7417261280889039,disturbance
history_001,history_001_event_010,demand_spike,"1,2,3",9710,160,0.7078068050430266,disturbance
history_001,history_001_event_025,valve_transient,3,9867,53,0.5982673747983462,disturbance
history_001,history_001_event_024,valve_transient,3,9978,66,0.7793893545001696,disturbance
history_002,history_002_event_004,borderline_leak,3,38,1693,0.17046996754468996,leak
history_002,history_002_event_019,pump_wear,3,147,1899,0.7641940570293922,disturbance
history_002,history_002_event_030,sensor_drift,1,322,934,0.276212944253787,disturbance
history_002,history_002_event_029,sensor_drift,2,529,2839,0.6492516379347589,disturbance
history_002,history_002_event_033,sensor_drift,1,1060,3630,0.4614049721233238,disturbance
history_002,history_002_event_031,sensor_drift,3,1155,3283,0.5482960696517236,disturbance
history_002,history_002_event_008,demand_spike,"1,2,3",1844,140,0.40658549668037897,disturbance
history_002,history_002_event_007,demand_spike,"1,2,3",2141,127,0.5155876721068746,disturbance
history_002,history_002_event_023,valve_transient,2,2143,59,0.33992099167516765,disturbance
history_002,history_002_event_016,pump_wear,1,2251,625,0.607490916780285,disturbance
history_002,history_002_event_012,demand_spike,"1,2,3",2343,124,0.5707855780858013,disturbance
history_002,history_002_event_000,slow_leak,2,2580,1511,0.4989747380285415,leak
history_002,history_002_event_011,demand_spike,"1,2,3",2720,218,0.4950234622926314,disturbance
history_002,history_002_event_013,demand_spike,"1,2,3",3581,165,0.5829766410311822,disturbance
history_002,history_002_event_025,valve_transient,3,3650,54,0.3568722653412508,disturbance
history_002,history_002_event_028,valve_transient,1,3933,34,0.7206091683673153,disturbance
history_002,history_002_event_014,demand_spike,"1,2,3",3974,193,0.8441420817284682,disturbance
history_002,history_002_event_017,pump_wear,2,4158,714,0.7179203008296486,disturbance
history_002,history_002_event_032,sensor_drift,3,4176,2252,0.4309193603932269,disturbance
history_002,history_002_event_005,abrupt_leak,2,4345,344,0.7721674661261171,leak
history_002,history_002_event_006,demand_spike,"1,2,3",4756,67,0.7083919680297749,disturbance
history_002,history_002_event_010,demand_spike,"1,2,3",4901,130,0.5795973956978253,disturbance
history_002,history_002_event_001,slow_leak,3,5105,2287,0.43791051584075763,leak
history_002,history_002_event_018,pump_wear,2,5579,1079,0.48251570383042125,disturbance
history_002,history_002_event_015,demand_spike,"1,2,3",5970,112,0.585936309066398,disturbance
history_002,history_002_event_003,borderline_leak,2,5984,2360,0.1827504536993986,leak
history_002,history_002_event_026,valve_transient,2,6666,78,0.44127040046338867,disturbance
history_002,history_002_event_020,pump_wear,1,6779,1954,0.7472333166562002,disturbance
history_002,history_002_event_002,slow_leak,2,7865,1694,0.4310316926554685,leak
history_002,history_002_event_027,valve_transient,3,8181,70,0.7341720504550521,disturbance
history_002,history_002_event_022,valve_transient,1,9140,115,0.44633529816736117,disturbance
history_002,history_002_event_009,demand_spike,"1,2,3",9708,166,0.48326928851102535,disturbance
history_002,history_002_event_024,valve_transient,2,9798,105,0.4851302067896753,disturbance
history_002,history_002_event_021,valve_transient,1,9980,80,0.5077645994340276,disturbance
history_003,history_003_event_014,demand_spike,"1,2,3",11,94,0.5177195395295119,disturbance
history_003,history_003_event_006,demand_spike,"1,2,3",170,177,0.8577976428867989,disturbance
history_003,history_003_event_023,valve_transient,1,420,52,0.6615776533931444,disturbance
history_003,history_003_event_007,demand_spike,"1,2,3",540,215,0.804895656716132,disturbance
history_003,history_003_event_022,valve_transient,3,815,47,0.5483861368290373,disturbance
history_003,history_003_event_005,abrupt_leak,1,995,235,0.8121415039046936,leak
history_003,history_003_event_025,valve_transient,1,1092,60,0.5618279238667961,disturbance
history_003,history_003_event_015,demand_spike,"1,2,3",1169,140,0.5068139540670068,disturbance
history_003,history_003_event_011,demand_spike,"1,2,3",1309,95,0.3968765207763362,disturbance
history_003,history_003_event_021,valve_transient,3,1478,100,0.6725671861478719,disturbance
history_003,history_003_event_001,slow_leak,3,1655,978,0.5607672747929822,leak
history_003,history_003_event_028,valve_transient,1,2708,26,0.7556116090393156,disturbance
history_003,history_003_event_003,borderline_leak,3,2813,1958,0.21063452981214825,leak
history_003,history_003_event_016,pump_wear,1,2902,581,0.4994172702415789,disturbance
history_003,history_003_event_004,borderline_leak,2,3294,1766,0.10869434753930116,leak
history_003,history_003_event_017,pump_wear,1,3738,407,0.3662762300180398,disturbance
history_003,history_003_event_031,sensor_drift,2,3980,1001,0.43678702481191506,disturbance
history_003,history_003_event_018,pump_wear,1,4038,2153,0.46008896687212014,disturbance
history_003,history_003_event_024,valve_transient,3,4835,74,0.6119360550261506,disturbance
history_003,history_003_event_000,slow_leak,3,4962,1377,0.34958276949160827,leak
history_003,history_003_event_030,sensor_drift,1,6086,978,0.31611038517281964,disturbance
history_003,history_003_event_010,demand_spike,"1,2,3",6413,79,0.36068096891511364,disturbance
history_003,history_003_event_008,demand_spike,"1,2,3",6578,50,0.7445008623907324,disturbance
history_003,history_003_event_009,demand_spike,"1,2,3",6705,172,0.4500876250158658,disturbance
history_003,history_003_event_032,sensor_drift,3,6762,2706,0.5541825515956998,disturbance
