timestamp,segment_id,pressure,flow_rate,temperature,valve_status,pump_state,pump_speed,compressor_state,energy_consumption,alarm_triggered,event_type,target,scenario_context,leak_severity
2026-01-01 06:00:00,1,74.604,3.646,23.782,1,1,1445.233,1,142.347,0,normal,0,nominal,0.0
2026-01-01 06:00:00,2,67.283,2.798,26.183,1,1,1251.427,1,125.229,0,normal,0,nominal,0.0
2026-01-01 06:00:00,3,60.867,2.263,28.818,1,1,1131.985,1,114.538,0,normal,0,nominal,0.0
2026-01-01 06:01:00,1,74.515,3.921,23.772,1,1,1431.899,1,145.004,0,normal,0,nominal,0.0
2026-01-01 06:01:00,2,66.973,2.594,26.481,1,1,1275.549,1,123.8,0,normal,0,nominal,0.0
2026-01-01 06:01:00,3,61.299,2.309,28.944,1,1,1108.345,1,114.168,0,normal,0,nominal,0.0
2026-01-01 06:02:00,1,74.142,3.5,23.95,1,1,1424.556,1,139.884,0,normal,0,nominal,0.0
2026-01-01 06:02:00,2,67.471,2.393,26.563,1,1,1250.636,1,120.544,0,normal,0,nominal,0.0
2026-01-01 06:02:00,3,61.817,2.325,28.85,1,1,1114.657,1,114.589,0,normal,0,nominal,0.0
2026-01-01 06:03:00,1,74.583,3.666,23.75,1,1,1414.262,1,141.399,0,normal,0,nominal,0.0
2026-01-01 06:03:00,2,67.418,2.848,26.715,1,1,1243.507,1,125.506,0,normal,0,nominal,0.0
2026-01-01 06:03:00,3,62.172,2.552,28.911,1,1,1123.126,1,117.529,0,normal,0,nominal,0.0
2026-01-01 06:04:00,1,73.654,3.428,23.592,1,1,1396.575,1,137.987,0,normal,0,nominal,0.0
2026-01-01 06:04:00,2,67.272,2.933,26.485,1,1,1255.37,1,126.939,0,normal,0,nominal,0.0
2026-01-01 06:04:00,3,63.397,2.281,28.735,1,1,1133.45,1,114.808,0,normal,0,nominal,0.0
2026-01-01 06:05:00,1,74.554,3.401,23.63,1,1,1417.905,1,138.487,0,normal,0,nominal,0.0
2026-01-01 06:05:00,2,67.094,3.276,26.561,1,1,1245.385,1,130.496,0,normal,0,nominal,0.0
2026-01-01 06:05:00,3,63.421,2.273,28.79,1,1,1124.566,1,114.369,0,normal,0,nominal,0.0
2026-01-01 06:06:00,1,73.3,3.232,23.606,1,1,1421.638,1,136.693,0,normal,0,nominal,0.0
2026-01-01 06:06:00,2,67.928,3.069,26.841,1,1,1243.364,1,128.043,0,normal,0,nominal,0.0
2026-01-01 06:06:00,3,58.464,1.983,28.712,1,1,1113.618,1,110.624,0,normal,0,nominal,0.0
2026-01-01 06:07:00,1,71.696,3.585,23.767,1,1,1414.881,1,140.492,0,normal,0,nominal,0.0
2026-01-01 06:07:00,2,68.196,3.532,26.749,1,1,1239.34,1,133.212,0,normal,0,nominal,0.0
2026-01-01 06:07:00,3,59.23,2.063,28.744,1,1,1097.796,1,110.935,0,normal,0,nominal,0.0
2026-01-01 06:08:00,1,72.687,3.604,23.743,1,1,1420.245,1,140.914,0,normal,0,nominal,0.0
2026-01-01 06:08:00,2,68.629,2.842,26.55,1,1,1248.571,1,125.626,0,normal,0,nominal,0.0
2026-01-01 06:08:00,3,60.411,2.143,28.67,1,1,1105.21,1,112.148,0,normal,0,nominal,0.0
2026-01-01 06:09:00,1,73.3,3.5,23.497,1,1,1423.163,1,139.836,0,normal,0,nominal,0.0
2026-01-01 06:09:00,2,68.421,2.651,26.505,1,1,1263.843,1,124.015,0,normal,0,nominal,0.0
2026-01-01 06:09:00,3,60.934,2.358,28.989,1,1,1108.016,1,114.719,0,normal,0,nominal,0.0
2026-01-01 06:10:00,1,73.191,3.552,23.616,1,1,1433.058,1,140.801,0,normal,0,nominal,0.0
2026-01-01 06:10:00,2,67.857,2.963,26.672,1,1,1264.302,1,127.623,0,normal,0,nominal,0.0
2026-01-01 06:10:00,3,62.464,2.118,29.04,1,1,1113.789,1,112.176,0,normal,0,nominal,0.0
2026-01-01 06:11:00,1,73.629,3.704,23.905,1,1,1421.105,1,142.102,0,normal,0,nominal,0.0
2026-01-01 06:11:00,2,67.758,2.428,26.56,1,1,1262.287,1,121.387,0,normal,0,nominal,0.0
2026-01-01 06:11:00,3,60.93,2.291,28.902,1,1,1095.099,1,113.462,0,normal,0,nominal,0.0
2026-01-01 06:12:00,1,74.436,3.796,23.642,1,1,1441.509,1,143.936,0,normal,0,nominal,0.0
2026-01-01 06:12:00,2,67.709,2.941,26.313,1,1,1260.83,1,127.235,0,normal,0,nominal,0.0
2026-01-01 06:12:00,3,61.844,2.195,29.015,1,1,1091.972,1,112.237,0,normal,0,nominal,0.0
2026-01-01 06:13:00,1,75.738,3.712,24.133,1,1,1426.215,1,142.378,0,normal,0,nominal,0.0
2026-01-01 06:13:00,2,67.806,3.193,26.341,1,1,1267.39,1,130.385,0,normal,0,nominal,0.0
2026-01-01 06:13:00,3,59.588,2.598,28.894,1,1,1122.96,1,118.053,0,normal,0,nominal,0.0
2026-01-01 06:14:00,1,73.154,3.928,24.259,1,1,1423.451,1,144.768,0,normal,0,nominal,0.0
2026-01-01 06:14:00,2,67.784,3.235,26.573,1,1,1255.773,1,130.422,0,normal,0,nominal,0.0
2026-01-01 06:14:00,3,60.237,2.378,28.645,1,1,1110.411,1,115.047,0,normal,0,nominal,0.0
2026-01-01 06:15:00,1,74.629,4.248,24.2,1,1,1426.239,1,148.552,0,normal,0,nominal,0.0
2026-01-01 06:15:00,2,67.208,2.879,26.773,1,1,1270.33,1,126.886,0,normal,0,nominal,0.0
2026-01-01 06:15:00,3,59.559,2.191,28.457,1,1,1119.046,1,113.219,0,normal,0,nominal,0.0
2026-01-01 06:16:00,1,74.817,3.881,24.018,1,1,1415.276,1,143.917,0,normal,0,nominal,0.0
2026-01-01 06:16:00,2,66.843,2.677,26.462,1,1,1278.703,1,124.872,0,normal,0,nominal,0.0
