timestamp,segment_id,pressure,flow_rate,temperature,valve_status,pump_state,pump_speed,compressor_state,energy_consumption,alarm_triggered,event_type,target
2024-01-01T00:00:00,1,67.92,3.225,26.411,1,0,0.0,1,85.12,0,normal,0
2024-01-01T00:01:00,1,71.556,3.02,26.691,1,1,1277.3,1,113.11,0,normal,0
2024-01-01T00:02:00,1,68.638,3.367,24.768,1,1,1233.4,1,86.17,0,normal,0
2024-01-01T00:03:00,1,69.187,2.846,23.779,1,1,1065.0,1,89.08,0,normal,0
2024-01-01T00:04:00,1,71.086,2.8,25.348,1,1,1341.2,1,88.0,0,warning,0
2024-01-01T00:05:00,1,71.263,2.563,24.52,1,1,1069.9,1,106.74,0,normal,0
2024-01-01T00:06:00,1,69.33,3.049,25.879,1,1,1015.4,1,88.58,0,normal,0
2024-01-01T00:07:00,1,67.733,2.724,25.746,1,1,1278.5,1,106.57,0,normal,0
2024-01-01T00:08:00,1,68.676,2.891,24.427,1,1,1080.6,1,86.09,0,normal,0
2024-01-01T00:09:00,1,69.803,2.873,24.88,1,1,1059.0,0,116.34,0,normal,0
2024-01-01T00:10:00,1,72.598,2.893,26.106,1,1,1048.2,0,98.23,0,normal,0
2024-01-01T00:11:00,1,70.475,2.822,22.831,1,1,1216.0,1,103.36,0,normal,0
2024-01-01T00:12:00,1,65.359,2.466,27.039,1,1,1051.7,1,86.82,0,fault,1
2024-01-01T00:13:00,1,67.247,3.191,24.667,0,1,1391.4,1,99.47,0,normal,0
2024-01-01T00:14:00,1,68.021,2.36,25.402,1,1,1219.5,1,113.05,0,normal,0
2024-01-01T00:15:00,1,67.929,2.498,24.271,1,1,1363.5,1,84.31,0,normal,0
2024-01-01T00:16:00,1,68.07,2.782,28.193,1,1,1158.6,0,91.64,0,normal,0
2024-01-01T00:17:00,1,68.69,3.134,24.318,1,0,0.0,1,115.63,0,normal,0
2024-01-01T00:18:00,1,72.612,3.066,24.384,1,1,1373.4,1,117.47,0,normal,0
2024-01-01T00:19:00,1,73.447,2.946,24.425,1,1,1098.2,1,111.1,0,normal,0
2024-01-01T00:20:00,1,69.673,3.101,27.111,1,1,1060.9,1,107.77,0,normal,0
2024-01-01T00:21:00,1,69.332,3.275,23.01,1,1,1463.8,1,92.04,0,normal,0
2024-01-01T00:22:00,1,72.675,2.954,23.956,1,1,1317.0,1,85.61,0,normal,0
