time,scenario_id,P_inlet,P_mid,P_outlet,Q_inlet,Q_outlet,T_inlet,T_mid,T_outlet,leak_rate,leak_label,leak_position,operating_state
0.0,normal_0232,18893332.357363526,11630328.38854204,4477677.936703262,2.4187902225108915,2.4408885211034024,108.19324331255831,98.42545931299696,90.87626261000946,0.0,0,,startup
10.0,normal_0232,18894155.024992455,11672133.65464824,4455533.857198187,2.4249365355835524,2.426552018792541,107.98762316426598,99.14634871239286,90.97478440905547,0.0,0,,startup
20.0,normal_0232,18875197.524441436,11644929.496451367,4455975.365542808,2.424333962334855,2.4198588151046034,108.4184761423034,98.97529727518275,90.45215179079531,0.0,0,,startup
30.0,normal_0232,18874438.69009329,11649167.618601443,4444690.4387010755,2.424854148642666,2.4262399432821415,107.97116198497787,98.6885191048375,90.67629610068775,0.0,0,,startup
40.0,normal_0232,18910868.13241802,11652402.384910697,4437192.625066226,2.4266837906279726,2.4250920622171934,108.47719761862334,98.71886649877393,90.69951622581846,0.0,0,,startup
50.0,normal_0232,18880096.102974303,11620138.855583971,4434745.183691315,2.4218345504809307,2.426412680094353,108.13846171018241,99.17800379312666,90.74087417635906,0.0,0,,startup
60.0,normal_0232,18894178.822222468,11626335.119322408,4412068.321632622,2.443262505890256,2.4329178545285157,108.11277350742279,98.95898560266971,90.59821367190693,0.0,0,,normal
70.0,normal_0232,18876066.752105534,11628489.117104668,4423518.351299865,2.4437467733385545,2.4224506320205235,108.05413413816473,98.99077013512414,91.13954919086592,0.0,0,,normal
80.0,normal_0232,18849596.784171645,11665286.582499735,4414094.977088206,2.440151211275773,2.4391433474455977,107.88356373449437,98.85719040100133,90.74364643677319,0.0,0,,normal
90.0,normal_0232,18861757.07429879,11687142.697317488,4442940.888116689,2.426940539753009,2.4347370208335475,107.74450284603421,98.98268794815783,90.80379536537686,0.0,0,,normal
100.0,normal_0232,18870259.12331119,11657087.339462535,4412487.954861146,2.4342897777539876,2.425123192891949,107.96223957694826,98.62032595841458,90.59994552462717,0.0,0,,normal
110.0,normal_0232,18862717.026902657,11665474.760075971,4461035.546261159,2.4295779847009396,2.42586842017917,108.06229103538055,99.34716043798068,90.51074108189732,0.0,0,,normal
120.0,normal_0232,18862806.401305992,11635617.33914353,4443122.993315545,2.427576060691053,2.43543417999644,107.87657144641003,98.98193696148599,90.54821009319011,0.0,0,,normal
130.0,normal_0232,18883679.736540757,11629167.450017849,4410169.0849654,2.4312303026774664,2.4344084055690822,107.78992056842287,98.82382104579813,90.63487185139559,0.0,0,,normal
140.0,normal_0232,18874793.142724857,11587363.489675015,4405011.018280941,2.439573832762048,2.4334771490753733,107.81702200785145,98.84468558507592,90.26433171546353,0.0,0,,normal
150.0,normal_0232,18882263.045920692,11604065.735256989,4421449.905229775,2.4266970254703812,2.435388165982401,107.96048780640984,98.67353949583344,90.33180855965986,0.0,0,,normal
160.0,normal_0232,18858964.211497,11615164.075651603,4385687.506683011,2.4347732099443196,2.419494006403161,108.06464608797683,98.76644004581442,90.69922963740993,0.0,0,,normal
170.0,normal_0232,18888702.391662505,11624227.021776741,4435099.363958969,2.4316881047039884,2.4349173447027193,107.56057275577609,98.72016628935893,90.80354536553841,0.0,0,,normal
180.0,normal_0232,18898382.76508455,11647729.863016948,4388266.037548955,2.4419501920241835,2.4327048941694374,107.97739364137931,98.7366996975237,90.82609443595982,0.0,0,,normal
190.0,normal_0232,18876613.96192242,11632189.186042253,4395017.90769469,2.423338913375563,2.4412051822015592,107.66074338154976,98.98621174313678,90.07671843357195,0.0,0,,normal
200.0,normal_0232,18867756.650983647,11623225.251972992,4391526.917772356,2.4310562236472615,2.434894535042672,107.94314096734865,98.7383131723451,90.45600368503318,0.0,0,,normal
210.0,normal_0232,18830302.88828899,11616331.027689755,4397652.737218017,2.4293594809447314,2.422481370622578,107.68804990382472,98.70344133399226,90.29566465495725,0.0,0,,normal
220.0,normal_0232,18888208.225123435,11631015.571113331,4379447.799581831,2.4318797783264268,2.440589108258087,107.95822941492736,98.75904912369776,90.32055271051973,0.0,0,,normal
230.0,normal_0232,18858508.301106244,11641395.741822045,4405664.180744216,2.4395276031040574,2.437785479426178,107.81547175890256,98.75542416796975,90.495371960809,0.0,0,,normal
240.0,normal_0232,18887614.298055835,11639676.810894256,4398977.005720705,2.4342121791844558,2.4492664689218913,107.9652136341191,98.57222661785153,90.79852657947032,0.0,0,,normal
250.0,normal_0232,18865902.4458409,11628742.438822536,4404511.924314383,2.429597330938006,2.434097588792354,108.2374105821699,98.9734617655663,90.66682139677414,0.0,0,,normal
260.0,normal_0232,18848833.531549223,11618278.870048478,4376095.496822456,2.437191940876645,2.448480204741011,107.94339982167526,98.7261071088164,90.7667373269328,0.0,0,,normal
270.0,normal_0232,18892213.90331174,11624361.011158094,4382914.596800747,2.4359897128653825,2.443657069546564,108.05431718198344,98.98018397699849,90.43612784112895,0.0,0,,normal
280.0,normal_0232,18866544.014499873,11640646.300613113,4370268.774072711,2.451765796413579,2.4364996897547253,107.90263658030813,99.25619620894793,90.95001750604195,0.0,0,,normal
290.0,normal_0232,18855665.62485013,11602689.23063735,4370651.88048655,2.428198471528435,2.4477445938600813,107.76552530552408,98.5249389804253,90.45266678437457,0.0,0,,normal
300.0,normal_0232,18846244.74472349,11570172.4300521,4394061.147104145,2.4318269984238583,2.4554748595202973,108.02525193943688,98.85279885460068,90.81268914843417,0.0,0,,normal
310.0,normal_0232,18850352.345491074,11605044.47665453,4368101.585677974,2.4357867852299213,2.4406933142517437,108.23354304508496,98.68153436064102,90.57841839104003,0.0,0,,normal
320.0,normal_0232,18838106.788115527,11631146.977977388,4327853.870973904,2.433292541887062,2.4359551679462337,108.00932673050613,98.82603659032992,90.41980700144245,0.0,0,,normal
330.0,normal_0232,18873124.748890955,11605462.601276698,4402230.87264594,2.4243392706992335,2.438851766562166,107.6600930171553,98.89967610788284,90.37585378579325,0.0,0,,normal
340.0,normal_0232,18894107.45727311,11575379.199156765,4395071.90724338,2.4327401205744863,2.430306303399083,108.01112616716455,98.9028834753297,90.4025834836562,0.0,0,,normal
350.0,normal_0232,18829018.682686154,11598651.279910205,4335307.3964705905,2.4208019254531847,2.4290103869930624,108.18896644443936,99.03163692210455,90.58784870882113,0.0,0,,normal
360.0,normal_0232,18821571.49347186,11634944.390692292,4368444.920714544,2.4372138674663164,2.4434420344394847,107.56580594383593,99.50976922654894,90.61409968643261,0.0,0,,normal
370.0,normal_0232,18819550.023405902,11624182.534571351,4337048.876611304,2.435886498055964,2.43050117388191,107.84319398589662,99.24630156895529,90.70893466004895,0.0,0,,normal
380.0,normal_0232,18891787.32636028,11613174.239619862,4334288.54779965,2.4302331989042822,2.442501588057974,108.17913667829708,98.7935552979618,90.67388998026655,0.0,0,,normal
390.0,normal_0232,18874685.642925814,11618065.490997132,4333195.308709324,2.436546528324298,2.437018547177913,108.07026029302398,99.03050993686611,90.49701919509943,0.0,0,,normal
400.0,normal_0232,18881638.54934275,11613339.429665873,4344349.69207448,2.438433577929324,2.435039855161807,107.78052910685153,98.63258797739536,90.52053917909848,0.0,0,,normal
410.0,normal_0232,18869272.523714077,11614659.101842614,4368117.2396604605,2.4277657719062615,2.437783858211678,107.84923853418366,98.95759500188336,90.90890439241275,0.0,0,,normal
420.0,normal_0232,18904374.63362713,11576469.238108411,4354417.23240744,2.4227849146725635,2.445567327187678,107.92362676935238,99.22595466869137,90.90470043632678,0.0,0,,normal
430.0,normal_0232,18891351.7592187,11592219.823236465,4313213.39918239,2.432147425724428,2.443315072262791,107.69109922320922,98.63124755519726,91.26045382659754,0.0,0,,normal
440.0,normal_0232,18887502.17030122,11629757.064089574,4309929.673504879,2.4395453961263827,2.4466266650514363,107.7664990649742,98.73328165252349,91.08963827415056,0.0,0,,normal
